"3587.20" "0.0058" "0.47" "3.33" "4.10" "1.68" "10:51:14" "AM" "Cs=0" "cps=-1.5" "Belt=1002058504" "RT=35.8900" "LTPerSlice=1.6200" "K=-0.539" "U=0.161" "Th=-0.208" "AppliedDiamCorrFact=" "1.03226" "6=1.35"
"3587.00" "0.0044" "0.29" "7.57" "3.76" "2.26" "10:51:50" "AM" "Cs=0" "cps=-3.5" "Belt=1002152853" "RT=35.8750" "LTPerSlice=1.6300" "K=-0.546" "U=-0.456" "Th=0.405" "AppliedDiamCorrFact=" "1.03226" "6=2.67"
"3586.80" "0.0047" "0.22" "8.38" "4.18" "3.06" "10:52:26" "AM" "Cs=0" "cps=2.0" "Belt=1002247244" "RT=35.8910" "LTPerSlice=1.6300" "K=-0.546" "U=0.157" "Th=0.405" "AppliedDiamCorrFact=" "1.03226" "6=2.44"
"3586.60" "0.0024" "0.36" "10.96" "4.70" "2.85" "10:53:02" "AM" "Cs=0" "cps=2.6" "Belt=1002341598" "RT=35.8750" "LTPerSlice=1.6300" "K=-0.546" "U=-0.456" "Th=1.632" "AppliedDiamCorrFact=" "1.03226" "6=1.59"
"3586.40" "0.0053" "0.77" "4.53" "9.15" "5.15" "10:53:38" "AM" "Cs=0" "cps=5.1" "Belt=1002435988" "RT=35.8900" "LTPerSlice=1.6300" "K=0.681" "U=-0.456" "Th=-0.208" "AppliedDiamCorrFact=" "1.03226" "6=2.14"
"3586.20" "0.0093" "0.57" "3.09" "5.44" "2.51" "10:54:13" "AM" "Cs=0" "cps=2.6" "Belt=1002530342" "RT=35.8750" "LTPerSlice=1.6300" "K=1.294" "U=0.157" "Th=0.405" "AppliedDiamCorrFact=" "1.03226" "6=2.15"
"3586.00" "0.0079" "0.46" "3.61" "3.80" "1.42" "10:54:50" "AM" "Cs=0" "cps=0.2" "Belt=1002625674" "RT=36.2500" "LTPerSlice=2.0000" "K=0.227" "U=-0.456" "Th=-0.208" "AppliedDiamCorrFact=" "1.03226" "6=1.13"
"3585.80" "0.0083" "0.38" "3.08" "4.24" "2.29" "10:55:26" "AM" "Cs=0" "cps=-2.3" "Belt=1002720028" "RT=35.8750" "LTPerSlice=2.0000" "K=-0.773" "U=0.044" "Th=-0.208" "AppliedDiamCorrFact=" "1.03226" "6=1.19"
"3585.60" "0.0080" "0.32" "4.35" "5.11" "3.46" "10:56:02" "AM" "Cs=0" "cps=3.2" "Belt=1002814419" "RT=35.8910" "LTPerSlice=2.0000" "K=1.227" "U=0.544" "Th=0.292" "AppliedDiamCorrFact=" "1.03226" "6=2.78"
"3585.40" "0.0076" "0.40" "3.06" "2.90" "0.84" "10:56:37" "AM" "Cs=0" "cps=-3.3" "Belt=1002908767" "RT=35.8750" "LTPerSlice=2.0000" "K=0.727" "U=-0.456" "Th=-0.208" "AppliedDiamCorrFact=" "1.03226" "6=1.10"
