3591.00	0.0018	0.13	0.11	0.19	0.12
3590.80	0.0021	0.70	1.00	5.39	1.82
3590.60	0.0052	0.50	3.10	4.31	1.75
3590.40	0.0076	0.37	1.27	3.29	1.39
3590.20	0.0066	0.15	3.00	2.60	1.82
3590.00	0.0069	0.28	1.38	3.82	2.38
3589.80	0.0161	0.27	1.15	4.60	3.18
3589.60	0.0110	0.33	2.74	4.86	3.16
3589.40	0.0069	0.42	1.50	4.34	2.16
3589.20	0.0066	0.38	6.95	4.01	2.04
3589.00	0.0074	0.30	3.95	3.15	1.60
3588.80	0.0059	0.33	4.66	4.11	2.38
3588.60	0.0068	0.44	7.01	4.19	1.91
3588.40	0.0089	0.60	3.78	6.43	3.32
3588.20	0.0090	0.76	1.12	9.29	5.33
3588.00	0.0089	0.31	2.86	7.09	5.44
3587.80	0.0090	0.73	3.50	6.44	2.70
3587.60	0.0088	0.79	3.83	5.74	1.71
3587.40	0.0092	0.40	0.62	4.18	2.10
3587.20	0.0058	0.47	3.33	4.10	1.68
3587.00	0.0044	0.29	7.57	3.76	2.26
3586.80	0.0047	0.22	8.38	4.18	3.06
3586.60	0.0024	0.36	10.96	4.70	2.85
3586.40	0.0053	0.77	4.53	9.15	5.15
3586.20	0.0093	0.57	3.09	5.44	2.51
3586.00	0.0079	0.46	3.61	3.80	1.42
3585.80	0.0083	0.38	3.08	4.24	2.29
3585.60	0.0080	0.32	4.35	5.11	3.46
3585.40	0.0076	0.40	3.06	2.90	0.84
3585.20	0.0050	0.48	3.23	2.94	0.46
3585.00	0.0046	0.53	3.37	3.00	0.28
3584.80	0.0039	0.41	3.88	4.15	2.02
3584.60	0.0046	0.49	3.49	2.74	0.22
3584.40	0.0074	0.43	1.55	0.76	0.16
3584.20	0.0078	0.66	6.91	3.30	0.20
3584.00	0.0062	0.62	3.70	3.47	0.30
3583.80	0.0064	0.17	4.17	4.31	3.43
3583.60	0.0060	0.33	3.02	5.27	3.57
3583.40	0.0052	0.29	1.42	6.13	4.59
3583.20	0.0087	0.38	4.56	5.79	3.80
3583.00	0.0072	0.51	4.97	4.20	1.57
3582.80	0.0080	0.46	4.20	1.84	0.16
3582.60	0.0082	0.58	8.00	5.43	2.46
3582.40	0.0093	0.51	8.16	7.05	4.39
3582.20	0.0055	0.53	6.28	6.87	4.11
3582.00	0.0070	0.29	4.20	3.48	1.98
3581.80	0.0070	0.24	5.06	6.55	5.33
3581.60	0.0082	0.33	6.96	7.54	5.79
3581.40	0.0078	0.56	3.39	6.23	3.33
3581.20	0.0112	0.45	3.52	4.98	2.65
3581.00	0.0099	0.36	4.55	6.38	4.51
3580.80	0.0067	0.21	3.40	3.95	2.87
3580.60	0.0076	0.36	4.74	3.61	1.75
